Year,UNIT_MEASURE,Teritory,Пол,household_members,Value
2013,Број,Република Српска,Оба пола,Укупно,408825.0
2013,Број,Град Бања Лука,M,Укупно,65010.0
2013,Број,Берковићи,Ж,Укупно,636.0
2013,Број,Град Бијељина,Оба пола,Укупно,34309.0
2013,Број,Билећа,M,Укупно,3307.0
2013,Број,Братунац,Ж,Укупно,5945.0
2013,Број,Брод,Оба пола,Укупно,5599.0
2013,Број,Вишеград,M,Укупно,3966.0
2013,Број,Власеница,Ж,Укупно,3712.0
2013,Број,Вукосавље,Оба пола,Укупно,1537.0
2013,Број,Гацко,M,Укупно,2766.0
2013,Број,Град Градишка,Ж,Укупно,16939.0
2013,Број,Град Дервента,Оба пола,Укупно,9345.0
2013,Број,Град Добој,M,Укупно,25447.0
2013,Број,Доњи Жабар,Ж,Укупно,1191.0
2013,Број,Град Зворник,Оба пола,Укупно,17690.0
2013,Број,Источна Илиџа,M,Укупно,4981.0
2013,Број,Источни Дрвар,Ж,Укупно,38.0
2013,Број,Источни Мостар,Оба пола,Укупно,83.0
2013,Број,Источни Стари Град,M,Укупно,438.0
2013,Број,Источно Ново Сарајево,Ж,Укупно,3819.0
2013,Број,Језеро,Оба пола,Укупно,365.0
2013,Број,Калиновик,M,Укупно,783.0
2013,Број,Кнежево,Ж,Укупно,3168.0
2013,Број,Козарска Дубица,Оба пола,Укупно,7492.0
2013,Број,Костајница,M,Укупно,1896.0
2013,Број,Котор Варош,Ж,Укупно,5863.0
2013,Број,Крупа на Уни,Оба пола,Укупно,543.0
2013,Број,Купрес,M,Укупно,128.0
2013,Број,Лакташи,Ж,Укупно,11293.0
2013,Број,Лопаре,Оба пола,Укупно,5081.0
2013,Број,Љубиње,M,Укупно,1077.0
2013,Број,Милићи,Ж,Укупно,3579.0
2013,Број,Модрича,Оба пола,Укупно,8553.0
2013,Број,Мркоњић Град,M,Укупно,6104.0
2013,Број,Невесиње,Ж,Укупно,3985.0
2013,Број,Нови Град,Оба пола,Укупно,8792.0
2013,Број,Ново Горажде,M,Укупно,1078.0
2013,Број,Осмаци,Ж,Укупно,1675.0
2013,Број,Оштра Лука,Оба пола,Укупно,971.0
2013,Број,Пале,M,Укупно,7158.0
2013,Број,Пелагићево,Ж,Укупно,1787.0
2013,Број,Петровац,Оба пола,Укупно,130.0
2013,Број,Петрово,M,Укупно,2532.0
2013,Број,Град Приједор,Ж,Укупно,27961.0
2013,Број,Прњавор,Оба пола,Укупно,12166.0
2013,Број,Рибник,M,Укупно,2252.0
2013,Број,Рогатица,Ж,Укупно,3871.0
2013,Број,Рудо,Оба пола,Укупно,2847.0
2013,Број,Соколац,M,Укупно,4276.0
2013,Број,Србац,Ж,Укупно,6157.0
2013,Број,Сребреница,Оба пола,Укупно,3792.0
2013,Број,Теслић,M,Укупно,13255.0
2013,Број,Град Требиње,Ж,Укупно,9394.0
2013,Број,Трново,Оба пола,Укупно,800.0
2013,Број,Угљевик,M,Укупно,4867.0
2013,Број,Фоча,Ж,Укупно,6544.0
2013,Број,Хан Пијесак,Оба пола,Укупно,1390.0
2013,Број,Чајниче,M,Укупно,1662.0
2013,Број,Челинац,Ж,Укупно,5009.0
2013,Број,Шамац,Оба пола,Укупно,5609.0
2013,Број,Шековићи,M,Укупно,2517.0
2013,Број,Шипово,Ж,Укупно,3665.0
2013,Број,Република Српска,Оба пола,one_member,91300.0
2013,Број,Град Бања Лука,M,one_member,13984.0
2013,Број,Берковићи,Ж,one_member,129.0
2013,Број,Град Бијељина,Оба пола,one_member,6984.0
2013,Број,Билећа,M,one_member,629.0
2013,Број,Братунац,Ж,one_member,1155.0
2013,Број,Брод,Оба пола,one_member,1360.0
