Year,Пол,CAUSE_OF_DEATH,UNIT_MEASURE,Value
1999,Оба пола,neoplasms,Број,4591
1999,Оба пола,diseases_of_the_circulatory,Број,15911
1999,Оба пола,diseases_of_the_respiratory,Број,866
1999,Оба пола,diseases_of_the_digestive,Број,709
1999,Оба пола,symptoms_signs_and_abnormal,Број,2552
1999,Оба пола,injuries_poisoning_and_consequences,Број,1022
1999,Оба пола,total,Број,25651
1999,M,neoplasms,Број,2752
1999,M,diseases_of_the_circulatory,Број,7700
1999,M,diseases_of_the_respiratory,Број,498
1999,M,diseases_of_the_digestive,Број,445
1999,M,symptoms_signs_and_abnormal,Број,1347
1999,M,injuries_poisoning_and_consequences,Број,786
1999,M,total,Број,13528
1999,Ж,neoplasms,Број,1839
1999,Ж,diseases_of_the_circulatory,Број,8211
1999,Ж,diseases_of_the_respiratory,Број,368
1999,Ж,diseases_of_the_digestive,Број,264
1999,Ж,symptoms_signs_and_abnormal,Број,1205
1999,Ж,injuries_poisoning_and_consequences,Број,236
1999,Ж,total,Број,12123
2000,Оба пола,neoplasms,Број,5122
2000,Оба пола,diseases_of_the_circulatory,Број,16283
2000,Оба пола,diseases_of_the_respiratory,Број,805
2000,Оба пола,diseases_of_the_digestive,Број,848
2000,Оба пола,symptoms_signs_and_abnormal,Број,2860
2000,Оба пола,injuries_poisoning_and_consequences,Број,1091
2000,Оба пола,total,Број,27009
2000,M,neoplasms,Број,3144
2000,M,diseases_of_the_circulatory,Број,7810
2000,M,diseases_of_the_respiratory,Број,464
2000,M,diseases_of_the_digestive,Број,518
2000,M,symptoms_signs_and_abnormal,Број,1484
2000,M,injuries_poisoning_and_consequences,Број,812
2000,M,total,Број,14232
2000,Ж,neoplasms,Број,1978
2000,Ж,diseases_of_the_circulatory,Број,8473
2000,Ж,diseases_of_the_respiratory,Број,341
2000,Ж,diseases_of_the_digestive,Број,330
2000,Ж,symptoms_signs_and_abnormal,Број,1376
2000,Ж,injuries_poisoning_and_consequences,Број,279
2000,Ж,total,Број,12777
2001,Оба пола,infectious_and_parasitic,Број,257
2001,Оба пола,neoplasms,Број,5347
2001,Оба пола,diseases_of_the_blood,Број,20
2001,Оба пола,endocrine_metabolic_and_nutritional,Број,667
2001,Оба пола,mental_and_behavioural_disorders,Број,48
2001,Оба пола,diseases_of_the_nervous,Број,161
2001,Оба пола,diseases_of_the_eye,Број,1
2001,Оба пола,diseases_of_the_circulatory,Број,16328
2001,Оба пола,diseases_of_the_respiratory,Број,745
2001,Оба пола,diseases_of_the_digestive,Број,827
2001,Оба пола,diseases_of_the_skin,Број,17
2001,Оба пола,diseases_of_the_musculoskeletal,Број,14
2001,Оба пола,diseases_of_the_genitourinary,Број,397
2001,Оба пола,pregnancy_childbirth_and_the,Број,1
2001,Оба пола,certain_conditions_originating,Број,188
2001,Оба пола,congenital_malformations_deformations,Број,43
2001,Оба пола,symptoms_signs_and_abnormal,Број,3031
2001,Оба пола,injuries_poisoning_and_consequences,Број,1017
2001,Оба пола,external_causes_of_mortality,Број,261
2001,Оба пола,factors_influencing_health_status,Број,1
2001,Оба пола,unknown,Број,954
2001,Оба пола,total,Број,30325
2001,M,infectious_and_parasitic,Број,157
2001,M,neoplasms,Број,3288
2001,M,diseases_of_the_blood,Број,7
2001,M,endocrine_metabolic_and_nutritional,Број,240
2001,M,mental_and_behavioural_disorders,Број,37
2001,M,diseases_of_the_nervous,Број,79
2001,M,diseases_of_the_eye,Број,1
2001,M,diseases_of_the_circulatory,Број,7943
2001,M,diseases_of_the_respiratory,Број,434
2001,M,diseases_of_the_digestive,Број,540
2001,M,diseases_of_the_skin,Број,5
2001,M,diseases_of_the_musculoskeletal,Број,6
2001,M,diseases_of_the_genitourinary,Број,200
2001,M,certain_conditions_originating,Број,109
2001,M,congenital_malformations_deformations,Број,18
2001,M,symptoms_signs_and_abnormal,Број,1637
2001,M,injuries_poisoning_and_consequences,Број,768
2001,M,external_causes_of_mortality,Број,206
2001,M,unknown,Број,527
2001,M,total,Број,16202
2001,Ж,infectious_and_parasitic,Број,100
2001,Ж,neoplasms,Број,2059
2001,Ж,diseases_of_the_blood,Број,13
2001,Ж,endocrine_metabolic_and_nutritional,Број,427
2001,Ж,mental_and_behavioural_disorders,Број,11
2001,Ж,diseases_of_the_nervous,Број,82
2001,Ж,diseases_of_the_circulatory,Број,8385
2001,Ж,diseases_of_the_respiratory,Број,311
