Year,UNIT_MEASURE,Врста школе,Value
2017,Број,Гимназијe,2467
2017,Број,Средње техничке школе,6206
2017,Број,Средње стручне школе,1846
2017,Број,Умјетничке школе,78
2017,Број,Вјерске школе,17
2017,Број,Средње школе за ученике са сметњама у развоју,28
2018,Број,Гимназијe,2286
2018,Број,Средње техничке школе,6125
2018,Број,Средње стручне школе,1887
2018,Број,Умјетничке школе,70
2018,Број,Вјерске школе,26
2018,Број,Средње школе за ученике са сметњама у развоју,46
2019,Број,Гимназијe,2281
2019,Број,Средње техничке школе,6141
2019,Број,Средње стручне школе,1910
2019,Број,Умјетничке школе,64
2019,Број,Вјерске школе,13
2019,Број,Средње школе за ученике са сметњама у развоју,62
2020,Број,Гимназијe,2120
2020,Број,Средње техничке школе,5841
2020,Број,Средње стручне школе,1828
2020,Број,Умјетничке школе,60
2020,Број,Вјерске школе,11
2020,Број,Средње школе за ученике са сметњама у развоју,28
